brand,model_name,package_set,brake_type,tyres_type,weight_set,weight_front,weight_rear,rim_depth,rim_internal_width,rim_external_width,rim_material,sproks_material_front,sproks_material_rear,hub_material_front,hub_material_rear,bearings_type,suggested_price_euro,url_maker,url_shop,item_component,item_price,discount,colour,edition
campagnolo,BORA ULTRA WTO 33 DISC BRAKE,set,disc,tubeless,1385,640,745,33,21,27.4,carbon,aluminium,aluminium,carbon,aluminium,ceramic,"€3,150.00",https://www.campagnolo.com/JP/en/Wheels/bora_ultra_wto_33_disc_brake,https://www.wiggle.co.uk/fulcrum-rapid-red-3-c24-gravel-wheelset,700c Campagnolo,"€2,835.00",10%,gold,gold
campagnolo,BORA ULTRA WTO 45 DISC BRAKE,set,disc,tubeless,1425,660,765,45,19,26.1,carbon,aluminium,aluminium,carbon,aluminium,ceramic,"€3,150.00",https://www.campagnolo.com/JP/en/Wheels/bora_ultra_wto_45_disc_brake,https://www.wiggle.co.uk/fulcrum-rapid-red-3-c24-gravel-wheelset,700c Shimano/SRAM,"€2,835.00",10%,gold,gold
campagnolo,BORA ULTRA WTO 60 DISC BRAKE,set,disc,tubeless,1530,710,820,60,19,26.1,carbon,aluminium,aluminium,carbon,aluminium,ceramic,"€3,150.00",https://www.campagnolo.com/JP/en/Wheels/bora_ultra_wto_60_disc_brake,https://www.wiggle.co.uk/fulcrum-rapid-red-3-c24-gravel-wheelset,700c Shimano/SRAM,"€2,835.00",10%,gold,gold
campagnolo,CALIMA,set,rim,clinchers,1826,,,24,17,22,aluminium,aluminium,aluminium,aluminium,aluminium,steel,€160.00,,https://www.wiggle.co.uk/token-g23ar-disc-gravel-alloy-wheelset,700c Shimano/SRAM,€144.00,10%,gold,gold
campagnolo,ZONDA DISC BRAKE,set,disc,clinchers,1675,,, 24/27-27/30 mm,17,22,aluminium,aluminium,aluminium,aluminium,aluminium,steel,€624.00,,https://www.wiggle.co.uk/fulcrum-racing-3-disc-brake-wheelset,700c Campagnolo,€561.60,10%,gold,gold
campagnolo,ZONDA,set,rim,clinchers,1540,,, 24/27-27/30 mm,17,22,aluminium,aluminium,aluminium,aluminium,aluminium,steel,€493.00,,https://www.wiggle.co.uk/fulcrum-racing-3-disc-brake-wheelset,700c Shimano/SRAM,€443.70,10%,gold,gold
campagnolo,SCIROCCO,set,rim,clinchers,1755,,,35,17,22,aluminium,aluminium,aluminium,aluminium,aluminium,steel,€349.00,,https://www.wiggle.co.uk/pro-lite-bracciano-dark-label-a42w-aero-road-wheelset,700c Campagnolo,€314.10,10%,gold,gold
campagnolo,SCIROCCO DISC BRAKE,set,disc,tubeless,1739,,,33,19,23.5,aluminium,aluminium,aluminium,aluminium,aluminium,steel,€499.00,,https://www.wiggle.co.uk/pro-lite-bracciano-dark-label-a42w-aero-road-wheelset,700c Shimano/SRAM,€449.10,10%,black,black
campagnolo,SHAMAL CARBON DISC BRAKE,set,disc,tubeless,1585,,,35/40,21,,carbon,aluminium,aluminium,aluminium,aluminium,steel,"€1,299.00",https://www.campagnolo.com/JP/en/Wheels/shamal_carbon_disc_brake,https://www.wiggle.co.uk/sector-r26-road-wheelset,700c Campagnolo,"€1,169.10",10%,black,black
campagnolo,SHAMAL ULTRA,set,rim,clinchers,1449,,,24/27 – 27/30,,22,aluminium,aluminium,aluminium,carbon,aluminium,ceramic,"€1,143.00",https://www.campagnolo.com/JP/en/Wheels/wheel_shamal_ultra,https://www.wiggle.co.uk/fulcrum-racing-5-disc-road-wheelset,700c Shimano/SRAM,"€1,028.70",10%,black,black
campagnolo,SHAMAL ULTRA,set,rim,tubeless,1475,,,24/27 – 27/30,,22,aluminium,aluminium,aluminium,carbon,aluminium,ceramic,"€1,143.00",https://www.campagnolo.com/JP/en/Wheels/wheel_shamal_ultra,https://www.wiggle.co.uk/prime-attaquer-road-wheelset,700c Shimano/SRAM,"€1,028.70",10%,black,black
campagnolo,BORA WTO 77,front,rim,tubeless,,755,,77,19,26.5,carbon,aluminium,aluminium,aluminium,,ceramic,"€1,993.00",https://www.campagnolo.com/JP/en/Wheels/bora_wto_77,https://www.wiggle.co.uk/fulcrum-racing-5-disc-road-wheelset,700c Campagnolo,"€1,793.70",10%,black,black
